 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
 161;,Louisiana-Monroe,=  72.41 ,18,12,70.75( 211),0,0,|,,0   1  | ,71.95,165 |   71.55,170 |   73.55
 162;,Morehead State,=  72.39 ,15,17,70.56( 216),0,1,|,,0   1  | ,73.22,151 |   73.07,152 |   70.36
 163;,Radford,=  72.37 ,19,11,68.94( 298),0,1,|,,0   1  | ,71.13,179 |   71.38,175 |   74.43
 164;,Saint Joseph's-Pa.,=  72.35 ,13,18,74.77(  94),0,2,|,,1   4  | ,72.28,162 |   72.12,161 |   72.33
 165;,Columbia,=  72.31 ,12,15,71.32( 187),0,1,|,,0   1  | ,73.25,150 |   73.07,151 |   70.07
 166;,Cal Poly-SLO,=  72.29 ,11,16,73.89( 116),0,1,|,,0   1  | ,72.64,156 |   72.59,155 |   71.20
 167;,Virginia Tech,=  72.21 ,11,22,77.67(  65),0,8,|,,0  12  | ,72.99,152 |   72.45,156 |   70.76
 168;,USC Upstate,=  72.20 ,20,11,66.12( 345),0,0,|,,0   1  | ,72.45,159 |   71.91,166 |   71.93
 169;,Robert Morris,=  72.04 ,20,14,69.29( 282),0,2,|,,0   2  | ,72.28,161 |   70.92,189 |   72.83
 170;,Indiana State,=  72.03 ,14,16,73.11( 136),0,5,|,,0   5  | ,72.13,163 |   71.56,169 |   72.13
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
 171;,Princeton,=  72.00 ,15,14,70.83( 206),0,0,|,,0   0  | ,71.78,169 |   72.25,158 |   71.52
 172;,NJIT(New Jersey Tech),=  71.99 ,15,11,69.95( 243),0,1,|,,0   2  | ,71.72,172 |   70.98,186 |   73.11
