 139,Wis.-Milwaukee,=  73.39 ,16,14,73.47( 124),,0,1,|,,1   3,| ,74.02  125 | ,72.56,154
 140,Robert Morris,=  73.31 ,24,11,68.40( 298),,0,3,|,,0   4,| ,72.91  142 | ,73.5,137
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 141,Drexel,=  73.29 ,15,14,72.84( 147),,0,1,|,,0   2,| ,73.20  134 | ,73.17,145
 142,Boise State,=  73.19 ,18,13,72.56( 158),,0,0,|,,1   2,| ,73.92  126 | ,72.26,157
 143,Drake,=  73.17 ,16,16,72.38( 161),,0,0,|,,0   1,| ,72.39  148 | ,73.74,134
 144,Southern Miss,=  73.08 ,12,17,75.48(  77),,0,2,|,,0   4,| ,72.31  150 | ,73.64,136
 145,Sam Houston State,=  73.01 ,14,12,71.23( 196),,0,0,|,,0   1,| ,71.62  165 | ,74.2,130
 146,Massachusetts,=  72.92 ,11,18,76.17(  65),,1,2,|,,1   2,| ,72.34  149 | ,73.29,143
 147,Murray State,=  72.85 ,17,12,69.93( 245),,0,1,|,,0   1,| ,71.27  167 | ,74.23,129
 148,Bowling Green,=  72.81 ,17,14,71.31( 194),,0,0,|,,0   2,| ,71.74  161 | ,73.67,135
 149,Jacksonville,=  72.73 ,18,14,69.86( 251),,0,0,|,,0   5,| ,70.89  172 | ,74.37,127
 150,Fairfield,=  72.72 ,17,15,73.57( 121),,0,3,|,,0   3,| ,73.80  127 | ,71.44,169
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 151,Binghamton-NY,=  72.72 ,22,9,68.96( 277),,0,1,|,,0   1,| ,74.27  122 | ,70.97,178
 152,North Texas,=  72.64 ,19,12,70.16( 234),,0,1,|,,0   1,| ,73.09  138 | ,71.98,161
 153,Santa Clara,=  72.62 ,14,17,73.25( 135),,0,3,|,,1   5,| ,71.65  164 | ,73.38,139
 154,Morgan State,=  72.59 ,22,12,68.59( 293),,0,2,|,,1   4,| ,73.10  137 | ,71.86,166
 155,VMI,=  72.56 ,20,8,67.75( 307),,0,0,|,,0   0,| ,74.12  124 | ,70.8,182
 156,Southern Illinois,=  72.51 ,12,18,75.33(  80),,0,2,|,,0   3,| ,72.07  156 | ,72.74,150
 157,Idaho,=  72.47 ,16,16,72.92( 142),,0,2,|,,0   4,| ,72.11  155 | ,72.61,153
 158,Marshall,=  72.34 ,12,17,75.06(  86),,0,2,|,,0   2,| ,71.75  160 | ,72.71,151
 159,San Diego,=  72.33 ,14,16,73.85( 113),,0,2,|,,0   7,| ,72.22  152 | ,72.22,158
 160,Charlotte,=  72.21 ,11,20,75.13(  84),,1,3,|,,1   4,| ,70.99  171 | ,73.21,144
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 161,Rutgers,=  72.20 ,11,21,76.71(  61),,0,9,|,,0  12,| ,70.83  174 | ,73.36,141
 162,Rider,=  72.03 ,19,13,70.30( 229),,0,0,|,,0   0,| ,73.10  136 | ,70.74,183
 163,Long Beach State,=  72.01 ,15,15,72.87( 144),,0,1,|,,0   3,| ,71.93  158 | ,71.87,164
 164,Mount St. Mary's,=  71.88 ,19,14,68.76( 286),,0,0,|,,0   2,| ,70.46  184 | ,73.08,147
 165,South Alabama,=  71.88 ,19,13,69.49( 261),,0,1,|,,0   1,| ,72.46  145 | ,71.07,177
 166,Middle Tennessee,=  71.75 ,17,14,69.49( 260),,0,0,|,,0   1,| ,70.83  175 | ,72.46,156
 167,Texas-Arlington,=  71.66 ,13,14,71.01( 206),,0,0,|,,0   1,| ,69.76  194 | ,73.32,142
 168,Texas A&M-CorpusC,hristi =  71.63 ,15,15,72.67( 149),,0,2,|,,0   3,| ,71.82  159 | ,71.22,174
 169,Radford,=  71.54 ,18,12,70.21( 232),,0,3,|,,0   3,| ,72.98  140 | ,69.86,200
 170,UC Santa Barbara,=  71.47 ,15,15,71.59( 182),,0,1,|,,0   3,| ,70.77  176 | ,71.94,162
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 171,Eastern Kentucky,=  71.46 ,16,12,68.72( 289),,0,0,|,,0   0,| ,70.05  192 | ,72.64,152
 172,Morehead State,=  71.37 ,18,16,70.65( 216),,0,2,|,,0   2,| ,70.66  179 | ,71.86,165
